Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
Intra-classDirStructXmlParser;DirStructXmlParser;[Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, God Class -> DirStructXmlParser]
Intra-classConfig;Config;[Dispersed Coupling -> Config.loadIngester, Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile, God Class -> Config]
Intra-classCommonsNetFtpClient;CommonsNetFtpClient;[Feature Envy -> CommonsNetFtpClient.connect, Feature Envy -> CommonsNetFtpClient.getFile, Refused Parent Bequest -> CommonsNetFtpClient]
Intra-classProtocolHandler;ProtocolHandler;[Data Class -> ProtocolHandler, Dispersed Coupling -> ProtocolHandler.connect, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.delete, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.nextPage, Feature Envy -> ProtocolHandler.passesDynamicDetection, God Class -> ProtocolHandler]
Intra-componentData Classorg.apache.oodt.cas.pushpull.protocol;Data Class -> org.apache.oodt.cas.pushpull.protocol;[Data Class -> Protocol, Data Class -> ProtocolHandler]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.expressions;Brain Method -> org.apache.oodt.cas.pushpull.expressions;[Brain Method -> Method.execute, Brain Method -> Method.convert]
Intra-componentIntensive Couplingorg.apache.oodt.cas.pushpull.protocol.http;Intensive Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Intensive Coupling -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.findLinkInATag]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.config;Feature Envy -> org.apache.oodt.cas.pushpull.config;[Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol.http;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.getFile, Dispersed Coupling -> HttpClient.parseLink]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.ftp;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.ftp;[Feature Envy -> CommonsNetFtpClient.connect, Feature Envy -> CogJGlobusFtpClient.connect, Feature Envy -> CommonsNetFtpClient.getFile]
Intra-componentGod Classorg.apache.oodt.cas.pushpull.protocol;God Class -> org.apache.oodt.cas.pushpull.protocol;[God Class -> ProtocolHandler, God Class -> Protocol]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.daemon;Feature Envy -> org.apache.oodt.cas.pushpull.daemon;[Feature Envy -> Daemon.calculateTimeTilNextRun, Feature Envy -> DaemonLauncher.configure, Feature Envy -> DaemonManager.setAsRunning]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol;[Dispersed Coupling -> ProtocolHandler.connect, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.delete, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.nextPage]
Intra-componentShotgun Surgeryorg.apache.oodt.cas.pushpull.protocol;Shotgun Surgery -> org.apache.oodt.cas.pushpull.protocol;[Shotgun Surgery -> RemoteSite.getURL, Shotgun Surgery -> Protocol.getRemoteSite, Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> ProtocolFile.getProtocolPath]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.config;Dispersed Coupling -> org.apache.oodt.cas.pushpull.config;[Dispersed Coupling -> Config.loadIngester, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.retrievalsystem;Feature Envy -> org.apache.oodt.cas.pushpull.retrievalsystem;[Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> RetrievalSetup.createPropFilesConfig, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, Feature Envy -> FileRetrievalSystem.initializeStagingArea]
Intra-componentRefused Parent Bequestorg.apache.oodt.cas.pushpull.protocol.ftp;Refused Parent Bequest -> org.apache.oodt.cas.pushpull.protocol.ftp;[Refused Parent Bequest -> CogJGlobusFtpClient, Refused Parent Bequest -> CommonsNetFtpClient]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.expressions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.expressions;[Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.retrievalsystem;Dispersed Coupling -> org.apache.oodt.cas.pushpull.retrievalsystem;[Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> RetrievalSetup.retrieveFiles, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> RetrievalSetup.startPropFileDownload]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.imaps;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.imaps;[Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> ImapsClient.openFolder, Feature Envy -> ImapsClient.chDir, Feature Envy -> ImapsClient.getMessageName]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;Feature Envy -> org.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;[Feature Envy -> RenamingConvention.getGrandParentPath, Feature Envy -> RenamingConvention.getParentPath]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.filerestrictions.parsers;Dispersed Coupling -> org.apache.oodt.cas.pushpull.filerestrictions.parsers;[Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parseDirstructXML, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parseVariablesXML]
Intra-methodHttpClient.createLinkFromHref;HttpClient.createLinkFromHref;[Feature Envy -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.createLinkFromHref]
Intra-methodRemoteSpecs.loadRemoteSpecs;RemoteSpecs.loadRemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
Intra-methodFileRetrievalSystem.addToDownloadQueue;FileRetrievalSystem.addToDownloadQueue;[Brain Method -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue]
Intra-methodFileRetrievalSystem.initializeStagingArea;FileRetrievalSystem.initializeStagingArea;[Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.initializeStagingArea]
Intra-methodImapsClient.getMessageName;ImapsClient.getMessageName;[Feature Envy -> ImapsClient.getMessageName, Intensive Coupling -> ImapsClient.getMessageName]
Intra-methodMethod.execute;Method.execute;[Brain Method -> Method.execute, Dispersed Coupling -> Method.execute]
Intra-methodMethod.convert;Method.convert;[Brain Method -> Method.convert, Dispersed Coupling -> Method.convert]
