Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol;[Dispersed Coupling -> ProtocolHandler.delete, Dispersed Coupling -> ProtocolHandler.getAppropriateProtocolBySite, Dispersed Coupling -> ProtocolHandler.nextPage, Dispersed Coupling -> ProtocolHandler.download, Dispersed Coupling -> ProtocolHandler.connect]
Intra-componentData Classorg.apache.oodt.cas.pushpull.protocol;Data Class -> org.apache.oodt.cas.pushpull.protocol;[Data Class -> Protocol, Data Class -> ProtocolHandler]
Intra-componentIntensive Couplingorg.apache.oodt.cas.pushpull.protocol.http;Intensive Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Intensive Coupling -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.findLinkInATag]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.config;Dispersed Coupling -> org.apache.oodt.cas.pushpull.config;[Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> Config.loadIngester, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.config;Feature Envy -> org.apache.oodt.cas.pushpull.config;[Feature Envy -> Config.loadConfigFile, Feature Envy -> Config.loadMetadataListToOutput]
Intra-componentRefused Parent Bequestorg.apache.oodt.cas.pushpull.protocol.ftp;Refused Parent Bequest -> org.apache.oodt.cas.pushpull.protocol.ftp;[Refused Parent Bequest -> CogJGlobusFtpClient, Refused Parent Bequest -> CommonsNetFtpClient]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.daemon;Feature Envy -> org.apache.oodt.cas.pushpull.daemon;[Feature Envy -> Daemon.calculateTimeTilNextRun, Feature Envy -> DaemonManager.setAsRunning, Feature Envy -> DaemonLauncher.configure]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.expressions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.expressions;[Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;Feature Envy -> org.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;[Feature Envy -> RenamingConvention.getParentPath, Feature Envy -> RenamingConvention.getGrandParentPath]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.imaps;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.imaps;[Feature Envy -> ImapsClient.openFolder, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> ImapsClient.chDir, Feature Envy -> ImapsClient.getMessageName]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.retrievalsystem;Dispersed Coupling -> org.apache.oodt.cas.pushpull.retrievalsystem;[Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Dispersed Coupling -> RetrievalSetup.retrieveFiles, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea]
Intra-componentShotgun Surgeryorg.apache.oodt.cas.pushpull.protocol;Shotgun Surgery -> org.apache.oodt.cas.pushpull.protocol;[Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> ProtocolFile.getProtocolPath, Shotgun Surgery -> Protocol.getRemoteSite, Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> RemoteSite.getURL]
Intra-methodImapsClient.getMessageName;ImapsClient.getMessageName;[Feature Envy -> ImapsClient.getMessageName, Intensive Coupling -> ImapsClient.getMessageName]
Intra-methodHttpClient.createLinkFromHref;HttpClient.createLinkFromHref;[Feature Envy -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.createLinkFromHref]
Intra-methodRemoteSpecs.loadRemoteSpecs;RemoteSpecs.loadRemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
Intra-methodFileRetrievalSystem.addToDownloadQueue;FileRetrievalSystem.addToDownloadQueue;[Brain Method -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue]
Intra-methodMethod.convert;Method.convert;[Brain Method -> Method.convert, Dispersed Coupling -> Method.convert]
Intra-methodMethod.execute;Method.execute;[Brain Method -> Method.execute, Dispersed Coupling -> Method.execute]
Intra-methodFileRetrievalSystem.initializeStagingArea;FileRetrievalSystem.initializeStagingArea;[Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.initializeStagingArea]
