Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-7];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-3, Pushpull-topic-5, Pushpull-topic-7];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-componentData Classorg.apache.oodt.cas.pushpull.protocol;Data Class -> org.apache.oodt.cas.pushpull.protocol;[Data Class -> Protocol, Data Class -> ProtocolHandler]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.retrievalsystem;Dispersed Coupling -> org.apache.oodt.cas.pushpull.retrievalsystem;[Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> RetrievalSetup.retrieveFiles, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Dispersed Coupling -> RetrievalSetup.startPropFileDownload]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.daemon;Feature Envy -> org.apache.oodt.cas.pushpull.daemon;[Feature Envy -> DaemonLauncher.configure, Feature Envy -> Daemon.calculateTimeTilNextRun, Feature Envy -> DaemonManager.setAsRunning]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.expressions;Brain Method -> org.apache.oodt.cas.pushpull.expressions;[Brain Method -> Method.convert, Brain Method -> Method.execute]
Intra-componentShotgun Surgeryorg.apache.oodt.cas.pushpull.protocol;Shotgun Surgery -> org.apache.oodt.cas.pushpull.protocol;[Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> RemoteSite.getURL, Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> ProtocolFile.getProtocolPath, Shotgun Surgery -> Protocol.getRemoteSite]
Intra-componentIntensive Couplingorg.apache.oodt.cas.pushpull.protocol.http;Intensive Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Intensive Coupling -> HttpClient.findLinkInATag, Intensive Coupling -> HttpClient.createLinkFromHref]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol.http;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.parseLink, Dispersed Coupling -> HttpClient.getFile]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.expressions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.expressions;[Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
Intra-methodFileRetrievalSystem.addToDownloadQueue;FileRetrievalSystem.addToDownloadQueue;[Brain Method -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue]
Intra-methodMethod.execute;Method.execute;[Brain Method -> Method.execute, Dispersed Coupling -> Method.execute]
Intra-methodHttpClient.createLinkFromHref;HttpClient.createLinkFromHref;[Feature Envy -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.createLinkFromHref]
Intra-methodFileRetrievalSystem.initializeStagingArea;FileRetrievalSystem.initializeStagingArea;[Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.initializeStagingArea]
Intra-methodMethod.convert;Method.convert;[Brain Method -> Method.convert, Dispersed Coupling -> Method.convert]
Intra-methodRemoteSpecs.loadRemoteSpecs;RemoteSpecs.loadRemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
Intra-methodImapsClient.getMessageName;ImapsClient.getMessageName;[Feature Envy -> ImapsClient.getMessageName, Intensive Coupling -> ImapsClient.getMessageName]
